assignment_cuid,overview,course_cuid
cmfpr6gtw000pxktoqnb7ckqv,Astrum blandior vester curis compello blanditiis sono deripio supellex.,cmfpr6ey50000xktol9ycmpwq
cmfpr6gw2000qxktozqdsfo89,Accusator speciosus tibi utilis sodalitas pax suscipio.,cmfpr6ey50000xktol9ycmpwq
cmfpr6gyi000rxktotcljpsbl,Quibusdam vir derelinquo calcar decerno cura arcesso volup ascit somniculosus.,cmfpr6ey50000xktol9ycmpwq
cmfpr6h0o000sxktokb5aly62,Arceo vos coerceo.,cmfpr6ey50000xktol9ycmpwq
cmfpr6kwk0025xktob3tzvv2u,Terebro desolo amplus taedium.,cmfpr6f0x0002xktobkx8kxty
cmfpr6kys0026xktogpfp0m26,Adinventitias ipsum cruentus triduana cicuta corrupti cotidie vomer curia argentum.,cmfpr6f0x0002xktobkx8kxty
cmfpr6l0y0027xkto0pd3app3,Vomito apparatus censura et varietas argumentum incidunt attollo.,cmfpr6f0x0002xktobkx8kxty
cmfpr6l370028xktonrhznq4i,Quaerat commodi peior.,cmfpr6f0x0002xktobkx8kxty
cmfpr6ori003exkto616ds3xl,Viridis ut vulnus denuo viscus.,cmfpr6ezm0001xkto4bsrheyj
cmfpr6otx003fxktoctgri7ab,Combibo curso depereo ulterius inventore.,cmfpr6ezm0001xkto4bsrheyj
cmfpr6owe003gxkto7nh05hhm,Valetudo amoveo adficio comparo expedita.,cmfpr6ezm0001xkto4bsrheyj
cmfpr6oyp003hxktoy84nkwm5,Caute cubicularis repudiandae cresco thema conscendo voluptatibus tepesco.,cmfpr6ezm0001xkto4bsrheyj
cmfpr6ssl004txktof7lk4pvt,Tener aestivus tactus sodalitas desino tenax comminor thalassinus aqua curia.,cmfpr6f3k0004xkto291li2iw
cmfpr6sv2004uxktovng3sfm4,Ambitus sumptus aperte casso fugiat damno traho aranea appono.,cmfpr6f3k0004xkto291li2iw
cmfpr6sx9004vxktonhw2xrco,Umerus basium ustilo.,cmfpr6f3k0004xkto291li2iw
cmfpr6vi5005rxktoy5mwyrsa,Magnam aperio adhaero suscipit desidero cogo cibus arma cognomen.,cmfpr6f2d0003xktowvv7sc0w
cmfpr6vl6005sxkto2dq51qam,Officia ad labore animadverto crudelis omnis toties.,cmfpr6f2d0003xktowvv7sc0w
cmfpr6vng005txktosii9fdd4,Caritas abstergo atavus sint pax acceptus.,cmfpr6f2d0003xktowvv7sc0w
